tot_people,workers_over_spectators,nb_of_spectators,nb_of_workers,min_perception_distance,max_perception_distance,speed,speed_ratio,leader_frac,follower_frac,tot_victims,tot_saved_people,tot_spectators_victims,tot_spectators_saved,tot_workers_victims,tot_workers_saved,tot_leaders_victims,tot_leaders_saved,tot_followers_victims,tot_followers_saved,tot_panic_victims,tot_panic_saved
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,25,190,25,168,0,22,0,18,20,129,5,21
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,12,274,10,244,2,30,1,29,7,178,2,37
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,35,307,32,272,3,35,2,25,26,212,4,35
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,52,260,49,229,3,31,5,15,37,171,7,43
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,21,327,20,295,1,32,1,29,15,221,4,45
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,32,219,31,192,1,27,4,17,24,144,3,31
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,50,179,39,159,11,20,2,19,28,120,9,20
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,11,211,9,190,2,21,0,20,7,150,2,20
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,2,224,2,204,0,20,0,30,2,148,0,26
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,20,205,19,182,1,23,2,21,16,138,1,23
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,9,209,9,185,0,24,0,24,9,139,0,22
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,15,171,13,150,2,21,2,23,10,108,1,19
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,23,223,22,198,1,25,2,18,17,151,3,29
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,0,242,0,214,0,28,0,22,0,164,0,28
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,14,273,12,249,2,24,3,27,6,188,3,34
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,0,206,0,187,0,19,0,15,0,154,0,18
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,8,178,7,158,1,20,2,20,3,116,2,22
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,13,185,11,166,2,19,2,19,8,125,1,22
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,0,190,0,168,0,22,0,19,0,129,0,20
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,10,162,9,145,1,17,1,13,8,116,0,16
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,32,289,31,260,1,29,1,33,24,201,6,26
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,42,270,37,242,5,28,9,26,25,191,3,25
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,15,235,14,210,1,25,1,21,12,158,1,31
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,53,220,49,195,4,25,4,19,35,153,10,23
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,32,245,30,212,2,33,5,22,21,157,4,33
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,1,275,1,246,0,29,0,30,1,190,0,26
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,13,236,13,204,0,32,3,14,10,166,0,24
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,0,250,0,222,0,28,0,21,0,171,0,30
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,22,201,22,181,0,20,1,24,18,134,3,23
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,23,218,21,188,2,30,3,21,15,135,3,32
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,7,227,7,206,0,21,0,21,6,164,1,21
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,23,290,21,266,2,24,2,29,18,210,1,27
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,0,192,0,172,0,20,0,17,0,137,0,18
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,4,330,3,298,1,32,1,31,1,227,1,40
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,53,200,47,177,6,23,4,18,37,134,6,25
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,3,218,3,198,0,20,0,27,3,150,0,21
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,0,169,0,145,0,24,0,8,0,114,0,23
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,4,198,4,174,0,24,0,20,3,129,1,25
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,3,102,3,88,0,14,0,12,2,67,1,9
500,0.1,454,46,1.0,5.0,0.03333333333333333,2.5,0.1,0.75,2,172,2,157,0,15,1,17,1,117,0,23
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,36,318,31,287,5,31,2,43,26,211,3,33
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,8,206,8,185,0,21,1,19,7,142,0,24
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,139,197,125,177,14,20,7,15,96,141,22,21
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,13,229,13,206,0,23,2,23,8,159,3,24
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,34,118,33,98,1,20,4,15,24,69,5,14
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,41,304,38,272,3,32,1,27,31,217,6,28
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,15,337,13,307,2,30,0,39,11,232,2,36
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,6,264,6,234,0,30,2,20,3,185,1,29
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,7,277,6,247,1,30,0,32,5,189,1,26
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,14,251,14,222,0,29,1,25,11,169,2,28
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,21,249,21,226,0,23,1,26,17,174,3,26
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,56,222,50,198,6,24,7,15,33,151,10,32
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,3,222,2,200,1,22,0,18,2,161,0,21
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,8,217,8,192,0,25,0,17,4,147,4,28
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,7,224,7,203,0,21,2,25,4,145,1,33
500,0.1,454,46,1.0,5.0,0.03333333333333333,3.0,0.1,0.75,8,192,6,169,2,23,1,20,4,126,1,23
