tot_people,workers_over_spectators,nb_of_spectators,nb_of_workers,min_perception_distance,max_perception_distance,speed,speed_ratio,leader_frac,follower_frac,tot_victims,tot_saved_people,tot_spectators_victims,tot_spectators_saved,tot_workers_victims,tot_workers_saved,tot_leaders_victims,tot_leaders_saved,tot_followers_victims,tot_followers_saved,tot_panic_victims,tot_panic_saved
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,147,41,137,34,10,7,32,15,31,1,74,18
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,117,27,111,24,6,3,24,6,19,6,68,12
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,110,31,102,26,8,5,20,4,19,8,63,14
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,221,59,200,50,21,9,38,16,44,9,118,25
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,170,39,155,33,15,6,28,6,34,7,93,20
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,78,46,71,41,7,5,16,9,11,7,44,25
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,66,25,61,22,5,3,6,1,13,8,42,13
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,144,44,131,41,13,3,21,9,31,9,79,23
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,54,44,47,37,7,7,10,11,12,9,25,17
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,69,30,65,23,4,7,13,4,11,2,41,17
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,42,49,38,43,4,6,7,12,5,12,26,19
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,92,55,77,49,15,6,26,13,16,11,35,25
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,59,27,48,23,11,4,10,5,5,6,33,12
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,113,48,104,42,9,6,19,6,22,6,63,30
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,14,33,14,30,0,3,2,5,2,9,10,16
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,26,45,26,36,0,9,7,8,5,9,14,19
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,4,40,3,36,1,4,0,7,1,9,2,20
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,11,28,7,27,4,1,2,5,1,4,4,18
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,0,25,0,21,0,4,0,3,0,5,0,13
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.1,11,27,11,25,0,2,5,4,0,10,6,11
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,153,46,142,39,11,7,25,10,39,13,78,16
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,167,75,156,67,11,8,31,12,38,26,87,29
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,129,42,117,37,12,5,17,8,37,11,63,18
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,133,61,125,54,8,7,25,8,32,22,68,24
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,68,74,65,63,3,11,10,7,22,23,33,33
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,116,71,103,66,13,5,21,22,29,15,53,29
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,172,49,157,43,15,6,35,8,43,18,79,17
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,97,40,88,34,9,6,16,7,28,10,44,17
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,101,80,93,65,8,15,20,13,21,31,52,21
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,42,40,36,37,6,3,5,6,6,11,25,20
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,33,33,33,29,0,4,6,8,11,8,16,13
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,80,66,73,60,7,6,14,11,22,20,37,29
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,8,56,6,47,2,9,1,10,4,22,1,15
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,71,81,65,72,6,9,10,17,17,30,38,25
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,36,37,35,31,1,6,6,6,18,9,11,16
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,44,48,39,39,5,9,6,9,15,10,18,20
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,40,38,36,33,4,5,9,7,7,12,20,14
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,3,65,3,54,0,11,0,19,2,20,1,15
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,7,60,7,49,0,11,2,9,0,15,5,25
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.2,5,72,5,62,0,10,1,12,1,22,3,28
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.3,77,160,72,146,5,14,19,28,29,68,24,50
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.3,122,102,112,86,10,16,13,24,45,39,54,23
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.3,222,74,200,65,22,9,40,14,85,35,75,16
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.3,228,85,204,75,24,10,39,20,84,27,81,28
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.3,78,167,72,149,6,18,20,32,24,70,28,47
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.3,120,141,111,128,9,13,23,35,41,49,47,44
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.3,181,59,161,49,20,10,24,15,62,19,75,15
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.3,60,55,55,48,5,7,11,11,19,20,25,17
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.3,56,57,54,51,2,6,12,13,28,17,14,21
500,0.1,454,46,1.0,5.0,0.0833333333333333,2.0,0.1,0.3,43,116,39,100,4,16,12,27,15,34,12,39
