tot_people,workers_over_spectators,nb_of_spectators,nb_of_workers,max_perception_distance,speed,speed_ratio,leader_frac,follower_frac,tot_victims,tot_saved_people,tot_spectators_victims,tot_spectators_saved,tot_workers_victims,tot_workers_saved,tot_leaders_victims,tot_leaders_saved,tot_followers_victims,tot_followers_saved,tot_panic_victims,tot_panic_saved
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,98,131,93,114,5,17,10,8,71,87,12,19
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,5,267,4,243,1,24,0,35,4,177,0,31
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,25,197,23,173,2,24,2,23,20,121,1,29
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,8,219,8,196,0,23,2,19,5,145,1,32
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,84,195,76,180,8,15,7,17,61,132,8,31
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,70,290,68,266,2,24,7,29,53,201,8,36
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,70,306,68,276,2,30,3,34,54,202,11,40
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,114,301,102,273,12,28,16,35,69,202,17,36
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,0,130,0,114,0,16,0,11,0,95,0,8
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,1,285,1,256,0,29,0,27,1,197,0,32
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,38,185,34,164,4,21,0,15,27,133,7,16
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,22,272,18,251,4,21,1,23,10,187,7,41
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,1,155,1,143,0,12,0,14,1,109,0,20
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,70,209,64,189,6,20,4,15,46,142,14,32
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,3,123,3,107,0,16,1,14,2,77,0,16
500,0.1,454,46,400.0,0.08333333333333333,2.0,0.1,0.75,0,125,0,116,0,9,0,12,0,87,0,17
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,3,494,1,452,2,42,1,44,0,359,0,49
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,5,152,5,134,0,18,0,11,5,93,0,30
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,27,383,23,344,4,39,1,34,19,261,3,49
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,9,405,8,366,1,39,0,35,7,275,1,56
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,8,466,6,424,2,42,2,43,4,323,0,58
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,33,304,31,276,2,28,3,29,23,214,5,33
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,44,299,44,265,0,34,4,31,32,196,8,38
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,36,290,35,262,1,28,4,35,28,186,3,41
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,18,248,16,229,2,19,1,28,13,165,2,36
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,53,230,49,205,4,25,6,25,34,144,9,36
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,23,102,19,90,4,12,1,13,14,66,4,11
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,48,269,43,246,5,23,2,25,29,184,12,37
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,42,383,40,349,2,34,5,42,28,263,7,44
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,24,213,22,186,2,27,3,9,16,155,3,22
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,4,228,4,203,0,25,0,30,2,142,2,31
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,2,329,2,301,0,28,2,30,0,236,0,35
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,2,348,2,316,0,32,0,27,1,245,1,44
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,3,392,2,358,1,34,0,40,1,268,1,50
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,0,357,0,322,0,35,0,38,0,238,0,46
500,0.1,454,46,500.0,0.08333333333333333,2.0,0.1,0.75,13,87,11,78,2,9,1,7,8,60,2,11
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,2,420,2,379,0,41,0,41,2,284,0,54
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,23,336,21,305,2,31,1,34,17,228,3,43
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,8,207,8,185,0,22,2,20,6,140,0,25
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,5,439,4,399,1,40,0,44,4,313,0,42
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,21,126,19,116,2,10,5,18,13,78,1,20
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,2,322,2,291,0,31,0,37,0,213,2,41
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,18,366,15,330,3,36,0,33,14,260,1,37
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,28,415,25,380,3,35,0,39,22,282,3,59
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,46,281,42,252,4,29,1,27,35,190,6,35
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,151,234,142,209,9,25,10,31,105,151,27,27
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,0,271,0,249,0,22,0,23,0,194,0,32
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,59,219,57,195,2,24,2,24,49,139,6,32
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,8,253,6,228,2,25,0,18,1,177,5,33
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,13,215,13,200,0,15,1,22,11,151,1,27
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,0,492,0,448,0,44,0,51,0,333,0,64
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,30,268,29,233,1,35,4,23,19,169,6,41
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,93,302,87,274,6,28,7,28,66,208,14,38
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,7,431,7,389,0,42,1,48,6,283,0,58
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,5,223,5,204,0,19,2,23,3,156,0,25
500,0.1,454,46,600.0,0.08333333333333333,2.0,0.1,0.75,0,489,0,445,0,44,0,51,0,351,0,43
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,72,188,66,172,6,16,6,18,53,130,7,24
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,15,161,14,147,1,14,1,9,12,118,1,20
500,0.1,454,46,700.0,0.08333333333333333,2.0,0.1,0.75,50,364,45,330,5,34,3,26,35,270,7,34
