tot_people,workers_over_spectators,nb_of_spectators,nb_of_workers,min_perception_distance,max_perception_distance,speed,speed_ratio,leader_frac,follower_frac,tot_victims,tot_saved_people,tot_spectators_victims,tot_spectators_saved,tot_workers_victims,tot_workers_saved,tot_leaders_victims,tot_leaders_saved,tot_followers_victims,tot_followers_saved,tot_panic_victims,tot_panic_saved
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,45,191,45,172,0,19,3,26,37,123,5,23
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,52,248,48,217,4,31,6,19,37,166,5,32
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,44,217,41,193,3,24,3,20,29,150,9,23
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,53,213,48,181,5,32,6,17,33,139,9,25
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,39,290,39,254,0,36,2,33,30,193,7,28
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,2,335,2,303,0,32,0,33,2,234,0,36
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,24,216,20,193,4,23,1,22,15,156,4,15
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,72,241,67,214,5,27,14,20,45,163,8,31
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,33,292,29,263,4,29,1,33,26,197,2,33
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,49,147,45,132,4,15,3,10,34,106,8,16
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,46,219,42,191,4,28,7,22,28,142,7,27
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,10,166,8,148,2,18,1,20,7,110,0,18
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,17,190,13,172,4,18,0,18,12,134,1,20
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,13,179,12,157,1,22,1,10,8,130,3,17
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,27,226,26,198,1,28,3,14,19,159,4,25
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,5,228,4,204,1,24,0,25,4,158,0,21
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,24,197,20,179,4,18,1,15,15,147,4,17
550,0.1,500,50,1.0,5.0,0.08333333333333333,2.0,0.1,0.75,25,248,24,218,1,30,2,28,18,165,4,25
